sensorid;Column5;djup[mˆh];placering;typ;filtrerad
A81758FFFE04CDD8;2021-09-22 19:00;27.847;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 19:15;27.85;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 19:30;27.848;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 19:45;27.85;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 20:00;27.846;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 20:15;27.846;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 20:30;27.847;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 20:45;27.849;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 21:00;27.849;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 21:15;27.848;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 21:30;27.848;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 21:45;27.848;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 22:00;26.522;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 22:15;27.846;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 22:30;27.849;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 22:45;27.848;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 23:00;27.845;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 23:15;27.848;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 23:30;27.851;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-22 23:45;27.853;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 00:00;27.851;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 00:15;26.54;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 00:30;27.857;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 00:45;27.856;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 01:00;27.864;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 01:15;27.857;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 01:30;27.866;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 01:45;27.867;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 02:00;27.87;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 02:15;27.875;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 02:30;27.872;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 02:45;27.878;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 03:00;27.876;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 03:15;27.872;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 03:30;27.882;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 03:45;27.898;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 04:00;27.885;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 04:15;27.897;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 04:30;27.904;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 04:45;27.898;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 05:00;27.899;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 05:15;27.905;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 05:30;27.911;Ankdammen;NivÂ;FALSE
A81758FFFE04CDD8;2021-09-23 05:45;27.929;Ankdammen;NivÂ;FALSE
