Column1;Column2;Column3;Column4;Column5;Column6
A81758FFFE04CDD8;2021-10-21 12:30;27.662;Ankdammen;NivÂ;FALSE
A81758FFFE046F4D;2021-10-21 12:30;23.193;Lilljansberget tr‰bro;NivÂ;FALSE
A81758FFFE066012;2021-10-21 12:30;23.762;Bron innan Lilljansberget;NivÂ;FALSE
A81758FFFE045989;2021-10-21 12:30;26.97;Nya tr‰bron Marihems‰ngarna;NivÂ;FALSE
A81758FFFE066024;2021-10-21 12:30;25.94;Lilljansv‰gen;NivÂ;FALSE
A81758FFFE04CDD8;2021-10-21 12:45;27.66;Ankdammen;NivÂ;FALSE
A81758FFFE046F4D;2021-10-21 12:45;23.188;Lilljansberget tr‰bro;NivÂ;FALSE
A81758FFFE066012;2021-10-21 12:45;23.762;Bron innan Lilljansberget;NivÂ;FALSE
A81758FFFE045989;2021-10-21 12:45;26.971;Nya tr‰bron Marihems‰ngarna;NivÂ;FALSE
A81758FFFE066024;2021-10-21 12:45;25.931;Lilljansv‰gen;NivÂ;FALSE
A81758FFFE04CDD8;2021-10-21 13:00;27.662;Ankdammen;NivÂ;FALSE
A81758FFFE046F4D;2021-10-21 13:00;23.191;Lilljansberget tr‰bro;NivÂ;FALSE
A81758FFFE066012;2021-10-21 13:00;23.762;Bron innan Lilljansberget;NivÂ;FALSE
A81758FFFE045989;2021-10-21 13:00;26.974;Nya tr‰bron Marihems‰ngarna;NivÂ;FALSE
A81758FFFE066024;2021-10-21 13:00;25.931;Lilljansv‰gen;NivÂ;FALSE
A81758FFFE04CDD8;2021-10-21 13:15;27.659;Ankdammen;NivÂ;FALSE
A81758FFFE046F4D;2021-10-21 13:15;23.181;Lilljansberget tr‰bro;NivÂ;FALSE
A81758FFFE066012;2021-10-21 13:15;23.762;Bron innan Lilljansberget;NivÂ;FALSE
A81758FFFE045989;2021-10-21 13:15;26.963;Nya tr‰bron Marihems‰ngarna;NivÂ;FALSE
A81758FFFE066024;2021-10-21 13:15;25.939;Lilljansv‰gen;NivÂ;FALSE
A81758FFFE04CDD8;2021-10-21 13:30;27.66;Ankdammen;NivÂ;FALSE
A81758FFFE046F4D;2021-10-21 13:30;23.194;Lilljansberget tr‰bro;NivÂ;FALSE
A81758FFFE066012;2021-10-21 13:30;23.764;Bron innan Lilljansberget;NivÂ;FALSE
A81758FFFE045989;2021-10-21 13:30;26.977;Nya tr‰bron Marihems‰ngarna;NivÂ;FALSE
A81758FFFE066024;2021-10-21 13:30;25.936;Lilljansv‰gen;NivÂ;FALSE
A81758FFFE04CDD8;2021-10-21 13:45;27.66;Ankdammen;NivÂ;FALSE
A81758FFFE046F4D;2021-10-21 13:45;23.192;Lilljansberget tr‰bro;NivÂ;FALSE
A81758FFFE066012;2021-10-21 13:45;23.764;Bron innan Lilljansberget;NivÂ;FALSE
A81758FFFE045989;2021-10-21 13:45;26.975;Nya tr‰bron Marihems‰ngarna;NivÂ;FALSE
A81758FFFE066024;2021-10-21 13:45;25.939;Lilljansv‰gen;NivÂ;FALSE
A81758FFFE04CDD8;2021-10-21 14:00;27.661;Ankdammen;NivÂ;FALSE
A81758FFFE046F4D;2021-10-21 14:00;23.186;Lilljansberget tr‰bro;NivÂ;FALSE
A81758FFFE066012;2021-10-21 14:00;23.763;Bron innan Lilljansberget;NivÂ;FALSE
A81758FFFE045989;2021-10-21 14:00;26.976;Nya tr‰bron Marihems‰ngarna;NivÂ;FALSE
A81758FFFE066024;2021-10-21 14:00;24.606;Lilljansv‰gen;NivÂ;FALSE
A81758FFFE04CDD8;2021-10-21 14:15;27.658;Ankdammen;NivÂ;FALSE
A81758FFFE046F4D;2021-10-21 14:15;23.19;Lilljansberget tr‰bro;NivÂ;FALSE
A81758FFFE066012;2021-10-21 14:15;23.764;Bron innan Lilljansberget;NivÂ;FALSE
A81758FFFE045989;2021-10-21 14:15;26.959;Nya tr‰bron Marihems‰ngarna;NivÂ;FALSE
A81758FFFE066024;2021-10-21 14:15;25.942;Lilljansv‰gen;NivÂ;FALSE
A81758FFFE04CDD8;2021-10-21 14:30;27.659;Ankdammen;NivÂ;FALSE
A81758FFFE046F4D;2021-10-21 14:30;23.194;Lilljansberget tr‰bro;NivÂ;FALSE
A81758FFFE066012;2021-10-21 14:30;23.765;Bron innan Lilljansberget;NivÂ;FALSE
A81758FFFE045989;2021-10-21 14:30;26.974;Nya tr‰bron Marihems‰ngarna;NivÂ;FALSE
A81758FFFE066024;2021-10-21 14:30;25.945;Lilljansv‰gen;NivÂ;FALSE
A81758FFFE04CDD8;2021-10-21 14:45;27.658;Ankdammen;NivÂ;FALSE
A81758FFFE046F4D;2021-10-21 14:45;23.199;Lilljansberget tr‰bro;NivÂ;FALSE
A81758FFFE066012;2021-10-21 14:45;23.765;Bron innan Lilljansberget;NivÂ;FALSE
A81758FFFE045989;2021-10-21 14:45;26.981;Nya tr‰bron Marihems‰ngarna;NivÂ;FALSE
A81758FFFE066024;2021-10-21 14:45;25.941;Lilljansv‰gen;NivÂ;FALSE
A81758FFFE04CDD8;2021-10-21 15:00;27.657;Ankdammen;NivÂ;FALSE
